NOUN,VERB/PREP,NOUN
SLE,in,125_adult_patients_patients
College,of,Rheumatology
-RRB-,using,reaction
amplification,refractory,system
reaction,with,amplification
amplification,using,®
volume,containing,ng
USA,in,μl
volume,about,ng
ng,of,template
pM,of,primer
mM,of,dNTP
mM,of,2_2
U,of,polymerase
Unknown,reverse,primer
sequences,follows,G
conditions,carried,thermocycler
min,followed,cycles
follows,reverse,primer
INF-γ,follows,′
conditions,in,thermocycler
°C,for,min
°C,for,s.
min,by,cycles
cycles,of,°C
s.,On,hand
°C,for,s
°C,for,s
conditions,consisted,step
conditions,of,step
cycles,of,incubation
s,by,cycles
s,with,extension
cycles,of,incubation
°C,for,s
°C,for,min
°C,for,s
°C,for,s
°C,for,s
products,analyzed,staining
products,by,staining
staining,by,visualization
308_308,detected,bp
874_874,detected,bp
product,for,308_308
308_308,at,bp
874_874,at,bp
Data,analyzed,package
Data,using,package
package,of,science
cases,were,those
frequencies,studied,polymorphisms
frequencies,of,polymorphisms
cases,to,those
polymorphisms,among,cases
those,of,controls
parameters,related,chronicity
chronicity,For,analysis
significance,of,parameters
parameters,to,chronicity
parameters,related,chronicity
chronicity,For,analysis
significance,of,parameters
parameters,to,chronicity
parameters,related,chronicity
chronicity,For,analysis
significance,of,parameters
parameters,to,chronicity
parameters,related_to,chronicity
chronicity,For,analysis
significance,of,parameters
This,was,frequency
This,to,frequency
genotypes,with,mode
mode,of,inheritance
Unknown,yield,difference
frequency,between,control
genotypes,were_in,agreement
frequencies,of,genotypes
agreement,with,equilibrium
equilibrium,in,groups
groups,of,controls
-RRB-,represent,GA
-RRB-,represent,GA
GNA,detected_at,bp
Cases,of,GA
those,with,genotype
revealed,no,difference
genotype,revealed,difference
difference,regarding,indices
those,with,genotype
study,tested,association
SLE,presenting,nephritis
polymorphisms,with,SLE
association,of,polymorphisms
SLE,with,nephritis
alleles,are,alleles
study_It,showed,308_308
alleles,affecting,severity
alleles,for,SLE
SLE,in,subjects
severity,of,disease
study,done,patients_patients
patients_patients,recruited,Egypt
study,among,Egyptian_SLE_patients_recruited_from_Upper_Egypt_patients
allele,in,Egyptian_SLE_patients_recruited_from_Upper_Egypt_patients
Egyptian_SLE_patients_recruited_from_Upper_Egypt_patients,in,Egyptian_SLE_patients_recruited_from_Upper_Egypt_patients
Egyptian_SLE_patients_recruited_from_Upper_Egypt_patients,with,nephritis
Egyptian_SLE_patients_recruited_from_Upper_Egypt_patients,from,Egypt
meta-analysis,associated,SLE
individuals,carrying,308_308
allele,associated,SLE
Mexican,with,SLE
SLE,in,subjects
allele,with,SLE
SLE,in,subjects
allele,found,Brazilian
conclusion,regarding,association
allele,among,Brazilian
polymorphisms,affecting,transcription
polymorphisms,control,level
transcription,exist_in,regions
regions,of,genes
level,of,inflammation
association,found_between,polymorphism
Val14Met,within,gene
studies,indicated,expression
level,has,effects
expression,of,level
effects,to,susceptibility
diseases,in,SLE
susceptibility,of,diseases
studies,found,results
results,of,association
polymorphism,with,SLE
SLE,among,Argentinean
we_we,encountered,studies
spite,of,evidence
SLE,among,Thai
-RRB-,represent,genotype
-RRB-,represent,TT
-RRB-,represent,genotype
ANT,detected_at,bp
genotype,AT,lanes
genotype,AT,lanes
genotype,AT,lanes
results,to,origins
addition,to,interactions
interactions,with,effects
origins,in,addition
size,present,other
other,limiting,factor
polymorphisms,play,role
lupus,in,cases
role,in,susceptibility
activity,of,lupus
we_we,recommend,study
we_we,undertaking,study
sequence,studying,cytokine
study,into,sequence
status,in,cases
cases,of,SLE
