NOUN,VERB/PREP,NOUN
"anti-GP_1,2_antibodies_antibodies",between,"1,2_1,2"
antibodies_antibodies,isolated,survivors
survivors,shown,sGP
survivors,preferentially,sGP
survivors,with,sGP
studies,suggest,that
Unknown,shed,light
reservoir.We,first,constructs
implications,for,design
light,on,virus
EBOV,directs,synthesis
EBOV,edited,transcripts
synthesis,of,GP
synthesis_sGP_mRNA_transcripts_it,observed,polymerases
DDRP,with,efficiency
efficiency,as,polymerase
synthesis_sGP_mRNA_transcripts_it,is,site
site,serve,signal
addition,to,slippage
site,as,signal
-RSB-,-LSB-,-RSB-
mutants,control,levels
panel,of,mutants
levels,of,expression
GP-8A,inserting,A
A,into,type
"1,2_1,2",as,product
mutations,introduced,site
site,ablate,slippage
site,resulting,Edit
mutations,into,site
"1,2_1,2",as,product
GP-7A,generate,sGPEdit
sGP,as,product
constructs,subcloned,vector
expression,examined,cells
constructs,into,vector
expression,in,cells
Unknown,characterized,cleavage
surfaces,secreted,"1,2_1,2"
"1,2_1,2",into,supernatant
supernatant,through,cleavage
"1,2_1,2",on,surfaces
Edit,produced,amounts
amounts,of,"1,2_1,2"
sGPEdit,expressed,levels
levels,secreted,supernatant
levels,of,sGP
sGP,into,supernatant
GP-7A,of,-LSB-
experiments,demonstrate,mutation
site,has,effect
immunogenicity,of,site
mutation,of,site
constructs,developed,titers
Mice,immunized,constructs
antibodies,measured,ELISA
sGPEdit_constructs_mice,immunized,Edit
Edit,developed,titers
antibodies,as,ELISA
Mice,with,constructs
titers,of,antibodies
antibodies,by,ELISA
titers,of,antibodies
Mice,immunized,constructs
constructs,expressing,sGP
Mice,with,constructs
constructs,expressing,sGP
Mice,immunized_with,constructs
Mice,immunized,constructs
constructs,expressing,sGP
Mice,with,constructs
constructs,expressing,sGP
Mice,immunized_with,constructs
Mice,immunized,constructs
constructs,expressing,sGP
Mice,with,constructs
constructs,expressing,sGP
Mice,immunized_with,constructs
epitopes,are_in,"1,2_1,2"
we_we,performed,analysis
analysis,determine,there
there,is,difference
sGP,develop,antibodies_isoforms_antibodies
epitopes,targeted,antibodies_isoforms_antibodies
antibodies_isoforms_antibodies,bind,isoforms
sGP,Compete_for,Binding
Antibodies,Induced_by,sGP
2,Given,animals
sGP,by,1
difference,in,epitopes
epitopes,by,antibodies_that_preferentially_bind_to_different_GP_isoforms_antibodies
antibodies_that_preferentially_bind_to_different_GP_isoforms_antibodies,to,isoforms
"1,2_1,2",versus,mice
Unknown,shown,3A
mice,with,"1,2_1,2"
.,in,3A
mice,reacted,sGP
antisera,from,mice
mice,with,sGP
This,suggests,epitopes
mice,are,sGP
epitopes,targeted,antibodies_isoforms_antibodies
mice,with,sGP
epitopes,by,antibodies_that_preferentially_bind_to_different_GP_isoforms_antibodies
we_we,performed,ELISA
ELISA,determine,sGP
mice,were,isoforms
mice,were,populations
antibodies_that_preferentially_bind_to_different_GP_isoforms_antibodies,in,mice
mice,between,isoforms
populations,of,antibodies_that_preferentially_bind_to_different_GP_isoforms_antibodies
"1,2_1,2",for,"1,2_1,2"
sGP,was,function
production,conserved,all
function,secreted,glycoprotein
all,known,species
Similar,to,data
role,in,cycle
function,of,virus
production,among,all
virus,reverts,phenotype
sGP,is,EBOV
sGP,survive,host
finding,that,mutates
mutates,to,phenotype
virus,to,phenotype
phenotype,in,culture
sGP,for,EBOV
phenotype,in,vivo
EBOV,in,host
we_we,demonstrate,sGP
sGP,function,antibodies_isoforms_antibodies
sGP,absorb,antibodies_isoforms_antibodies
Unknown,passively,antibodies_isoforms_antibodies
host_response_it,shares,GP
cross-reactivity,with,epitopes
the_host_immune_response_it,with,GP
sGP,represents,mechanism
use,secreted,antigens
tactic,previously,viruses
vaccines,avoid,subversion.compete
subversion,by,sGP
mechanism,from,use
use,of,antigens
consideration,for,efforts
antigens,as,decoys
tactic,for,viruses
antibodies_that_preferentially_bind_to_different_GP_isoforms_antibodies,from,GP
binding,of,antibodies_that_preferentially_bind_to_different_GP_isoforms_antibodies
sGP,was,antibodies_isoforms_antibodies
sGP,efficiently,antibodies_isoforms_antibodies
sGP,for,antibodies_that_preferentially_bind_to_different_GP_isoforms_antibodies
antibodies_that_preferentially_bind_to_different_GP_isoforms_antibodies,from,mice
Unknown,expected,"1,2_1,2"
"1,2_itself",in,groups
Unknown,expected,"1,2_1,2"
"1,2_itself",in,groups
Unknown,expected,"1,2_1,2"
"1,2_itself",in,groups
Unknown,expected,"1,2_1,2"
"1,2_itself",in,groups
sGP,attenuate,amount
sGP,suggesting,presence
concentrations,of,sGP
amount,of,signal
presence,of,populations
populations,of,antibodies
sGP,significantly,amount
sGP,indicating,"1,2_1,2"
mice,are,sGP
concentrations,of,sGP
antiserum,from,mice
antibodies,in,mice
mice,with,sGP
HA,had,effect
addition,of,HA
effect,on,amount
amount,of,"1,2_1,2"
data,suggest,antibodies
antibodies,induced,"1,2_1,2"
epitopes,shared,"1,2_1,2"
epitopes,Differentially,Neutralization
sGP,interfere,neutralization
antibodies,induced,sGP
sGP,directed,epitopes
epitopes,shared,"1,2_1,2"
there,was,difference
"1,2_1,2",against,epitopes
sGP.sGP,with,Neutralization
Neutralization,by,Antisera
sGP,with,neutralization
Antisera,from,GP
antibodies,by,sGP
sGP,against,epitopes
difference,in,ability
ability,of,antisera_from_the_immunization_groups_antisera
antisera_from_the_immunization_groups_antisera,from,groups
Pseudoviruses,generated,backbone
Pseudoviruses,using,backbone
we_we,pooled,sera
sera,from,responders
animals,among,animals
groups,were,Pseudoviruses_pseudoviruses
groups,effectively,Pseudoviruses_pseudoviruses
Pseudoviruses_pseudoviruses,measured,assay
mice,exhibited,activity
Antisera,from,groups
Pseudoviruses_pseudoviruses,by,assay
antisera_from_the_immunization_groups_antisera,from,"1,2_1,2"
activity,than,antisera_from_the_immunization_groups_antisera
antisera_from_the_immunization_groups_antisera,from,mice
we_we,used,dilution
dilution,corresponding,activity
dilution,preincubated,antisera_immunization_groups_antisera
sGP,interferes,neutralization
dilution,to,activity
antisera_from_the_immunization_groups_antisera,with,amounts
sGP,with,neutralization
activity,in,group
amounts,of,sGP
ELISA,results,sGP
sGP,was,activity
activity_antisera_mice_it,had,effect
sGP,completely,activity
Consistent,with,ELISA
effect,on,activity
activity,of,antisera_from_the_immunization_groups_antisera
activity,of,antisera_from_the_immunization_groups_antisera
antisera_from_the_immunization_groups_antisera,from,mice
Unknown,had,effect
HA,as,control
effect,on,activity
activity,of,group
results,observed,we_we
we_we,used,dilution
dilution,corresponding_to,Fig
data,confirm,sGP
data,do,animals
sGP,interfere,neutralization
animals,exposed,exposed
neutralization,in,animals
antibodies,with,neutralization
data,confirm,sGP
data,do,animals
sGP,interfere,neutralization
animals,exposed,exposed
neutralization,in,animals
antibodies,with,neutralization
data,confirm,sGP
data,do,animals
sGP,interfere,neutralization
animals,exposed,exposed
neutralization,in,animals
antibodies,with,neutralization
data,confirm,sGP
data,do,animals
sGP,interfere,neutralization
animals,exposed,exposed
neutralization,in,animals
antibodies,with,neutralization
data,confirm,sGP
data,do,animals
sGP,interfere,neutralization
animals,exposed,exposed
neutralization,in,animals
antibodies,with,neutralization
.,for,affinity
Unknown,immunized,groups
IgG,from,responders
d,of,"1,2_1,2"
d,correponding,affinity
d,described,estimate
d,calculated_by,analysis
d,to,affinity
estimate,of,affinity
mice_mice,immunized,"1,2_1,2"
Consistent,with,data
titers,of,"monoclonal_antibodies_directed_against_epitopes_shared_between_sGP_and_GP_1,2_antibodies"
there,was,difference
there,indicating,binding
binding,vs.,"monoclonal_antibodies_directed_against_epitopes_shared_between_sGP_and_GP_1,2_antibodies"
binding,of,"monoclonal_antibodies_directed_against_epitopes_shared_between_sGP_and_GP_1,2_antibodies"
"monoclonal_antibodies_directed_against_epitopes_shared_between_sGP_and_GP_1,2_antibodies",from,animals
differences,for,isoforms
mice_mice,immunized,sGP
Female_BALB/C_mice_mice,against,sGP
levels,of,"monoclonal_antibodies_directed_against_epitopes_shared_between_sGP_and_GP_1,2_antibodies"
"1,2_1,2",have,d
antibodies_epitopes_sGP_antibodies,directed,epitopes
antibodies_epitopes_sGP_antibodies,bind,isoforms
epitopes,shared,sGP
information,on,"monoclonal_antibodies_directed_against_epitopes_shared_between_sGP_and_GP_1,2_antibodies"
"monoclonal_antibodies_directed_against_epitopes_shared_between_sGP_and_GP_1,2_antibodies",to,isoforms
epitopes,between,sGP
isoforms,with,affinities
data,provide,evidence
affinity,are,antibodies_epitopes_sGP_antibodies
sGP,Allows,sGP
virus,secreted,G
sGP,Compete,secretion
antibodies_epitopes_sGP_antibodies,hypothesized,viruses
mechanism,absorbing,antibodies_epitopes_sGP_antibodies
differences,in,affinity
affinity,for,"monoclonal_antibodies_directed_against_epitopes_shared_between_sGP_and_GP_1,2_antibodies"
isoforms.Expression,of,"1,2_1,2"
sGP,for,secretion
secretion,of,glycoproteins
Context,of,sGP
"monoclonal_antibodies_directed_against_epitopes_shared_between_sGP_and_GP_1,2_antibodies",before,viruses
viruses,including,virus
mice_mice,immunized,site
constructs,in,vector
mice_Mice,vaccinated,IM
IM,with,mg
mg,of,DNA
Antibody,against,UNKNOWN
Antibody,against,sGP
mice_mice,measured,ELISA
response,induced,constructs
levels,of,response
response,by,constructs
His-sGP,as,antigen
concentration,determined,curve
concentration,from,curve
mg/mL,of,IgG
Unknown,interfere,neutralization
we_we,observed,sGP
sGP,compete,antibodies_antibodies
mice_sGP_mice,immunized,sGP
"antibodies_against_GP_1,2_antibodies",in,mice_immunized_against_sGP_mice
mice_immunized_against_sGP_mice,against,sGP
This,led,we_us
we_us,hypothesize,sGP
sGP,serve,role
role,altering,repertoire
response,directed,response
response,divert,response
epitopes,shared_between,sGP
role,in,repertoire
repertoire,of,epitopes
epitopes,against,response
response,towards,epitopes
we_we,vaccinated,mice_sGP_mice
-RRB-,simulate,expression
mice_immunized_against_sGP_mice,with,ratio
ratio,of,sGPEdit
expression,during,infection
groups,immunized,Edit
vector,keep,amount
groups,with,Edit
Edit,plus,vector
amount,of,constant
cells_sGPEdit_cells,transfected,ratios
proxy,for,expression
ratios,of,sGPEdit
Edit,similar,cells_sGPEdit_cells
cells_sGPEdit_cells,co-transfected,sGPEdit
levels,of,expression
expression,in,supernatant
"1,2_1,2",Fig,.
Edit,to,"cells_co-transfected_with_sGPEdit_and_GP_1,2_Edit_cells"
Edit,with,sGPEdit
groups,generated,titers
sGP,display,patterns
Antiserum,from,mice_immunized_against_sGP_mice
Detection,by,UNKNOWN
"antibodies_against_GP_1,2_antibodies",against,"1,2_1,2"
Antisera_mice_sGPEdit_antisera,followed,IgG
"1,2_1,2",probed,1:1000
Antisera_mice_sGPEdit_antisera,blotting,IgG
"Antisera_from_mice_immunized_with_sGPEdit_,_GP-7A_,_GP-8A_,_and_GP_1,2_Edit_antisera",by,IgG
SDS-PAGE,under,conditions
"Antisera_from_mice_immunized_with_sGPEdit_,_GP-7A_,_GP-8A_,_and_GP_1,2_Edit_antisera",with,IgG
ELISA,of,UNKNOWN
Wells,incubated,Antisera_mice_sGPEdit_antisera
"1,2_1,2",with,"Antisera_from_mice_immunized_with_sGPEdit_,_GP-7A_,_GP-8A_,_and_GP_1,2_Edit_antisera"
concentrations,of,antigen
plates,washed,antibody
plates,then,antibody
antibody,followed,addition
substrate,develop,color
plates,with,antibody
antibody,by,addition
addition,of,substrate
mice_sGP_mice,immunized,sGPEdit
Antisera,from,mice_immunized_against_sGP_mice
mice_immunized_against_sGP_mice,with,sGPEdit
Unknown,mixed,quantities
antiserum,with,quantities
wells,above,.
Experiments,performed,times
Experiments,repeated,times
Experiments,duplicate,times
Experiments,in,times
times,with,results
sGP,compete,"1,2_1,2"
"1,2_1,2",for,%
Mice,immunized,Edit
vector,displayed,patterns
we,observed,Mice_mice
Mice_mice,immunized,one
we,in,Mice_mice
Mice_mice,against,one
one,of,isoforms
Mice_mice,absorbed,sGP
%,of,"1,2_1,2"
Mice_mice,by,sGP
12_antisera_compared_to_week_6_antisera,from,sGPEdit
Mice_mice,immunized,ratios
antibodies_antibodies,being,competition
Mice_mice,immunized,ratio
Mice_mice,immunized,ratio
cross-reactivity,with,%
Mice_mice,with,ratios
ratios,of,sGPEdit
competition,in,Mice_mice
Mice_mice,with,ratio
competition,in,Mice_mice
ratio,of,sGP
Mice_mice,with,ratio
ratio,of,sGP
results,obtained,assay
results,with,assay
sGP,attenuated,amount
Mice_mice,precipitate,"1,2_1,2"
concentrations,of,sGP
antiserum,from,sGPE-dit
antiserum,was,infectivity
antiserum,effectively,infectivity
sGP,interfere,antibody
antibody,mediated,neutralization
addition,of,sGP
neutralization,in,Mice_mice
observations,made,concentration
observations,at,concentration
data,confirm,sGP
sGP,direct,response
sGP,allowing,sGP
response,focus,epitopes
sGP,compete,antibodies_antibodies
sGP,interfere,neutralization
response,on,epitopes
sGP,for,"the_anti-GP_1,2_antibodies_-LRB-_Fig._6C_-RRB-_antibodies"
sGP,compete,proportion
order,test,hypothesis
6,suggests,exposure
sGP,modulate,GP
6,drives,host
we,primed,Mice_mice
we,boosted,Mice_mice
we,boosted,10
sGP,for,proportion
proportion,of,GP
12_antisera_compared_to_week_6_antisera,to,6
expression,of,sGP
exposure,to,sGP
Mice_mice,with,"GP_1,2_Edit_Edit"
10,with,isoform
antisera_week_antisera,determined,pfu
antisera_week_antisera,incubating,pfu
activity,of,12_antisera_compared_to_week_6_antisera
12_antisera_compared_to_week_6_antisera,by,pfu
pfu,of,virus
dilutions,of,GP
Neutralization,measured,decrease
Neutralization,as,decrease
decrease,in,luciferase
Neutralization,measured,decrease
Neutralization,as,decrease
decrease,in,luciferase
Neutralization,measured,decrease
Neutralization,as,decrease
decrease,in,luciferase
Neutralization,measured,decrease
Neutralization,as,decrease
decrease,in,luciferase
Neutralization,measured,decrease
Neutralization,as,decrease
decrease,in,luciferase
Neutralization,measured_as,decrease
decrease,in,luciferase
antibodies,induced_in,groups
groups,at,12_12
sGP,was,antibodies
mice,then,sGPEdit
sGP,efficiently,antibodies
mice,with,"1,2_1,2"
Edit_Edit,with,sGPEdit
sGP,for,antibodies
antibodies,in,ELISA
sGP,was,antibodies
sGP,efficiently,antibodies
mice,primed,sGPEdit
sGP,for,antibodies
antibodies,from,mice
mice,against,sGPEdit
sGP,is,mice
sGP,interfere,mice
mice,immunized,IM
IM,with,mg
immunization,to,schedule
mg,of,DNA
DNA,per,immunization
virus_neutralization_mice_Mice,immunized,ratio
ratio,of,Edit_Edit
Edit_Edit,in,pCAGGS
groups,keep,amount
groups,immunized_with,GP
alone,plus,vector
amount,of,constant
"1,2_1,2",against,GP
sera,collected,6_6
6_6,analyzed,antibodies
sera,at,6_6
6_6,for,antibodies
antibodies,by,ELISA
antibodies,determined,ELISA
ability,compete,antibodies
ability,of,antibodies
antibodies,by,ELISA
ELISA,in,3B
antibodies,for,antibodies
antisera_antisera,were,signal
antisera_antisera,analyzed,mice
antisera_antisera,give,signal
antisera_antisera,from,mice
ratio,of,Edit_Edit
ELISA,performed,antisera_antisera
antisera_antisera,collected,6_6
ELISA,from,antisera_antisera
antisera_antisera,at,6_6
color,to,schedule
Unknown,incubated,GP
concentrations,compete,antibodies
concentrations,of,antibodies
antisera_antisera,from,sGPEdit
mice,with,GP
antibodies,for,antibodies
"1,2_1,2",incubated,HA
control,as,3E
HA,as,control
Neutralization,of,pseudovirus
Unknown,determined,pfu
Unknown,incubating,pfu
activity,of,antisera_antisera
antisera_antisera,by,pfu
virus,with,dilutions
dilutions,of,sGP
pfu,of,GP
Neutralization,measured,decrease
Neutralization,as,decrease
expression,to,controls
decrease,in,expression
GP,by,UNKNOWN
neutralization,determined,4B
ability,interfere,neutralization
ability,of,neutralization
neutralization,in,4B
neutralization,with,neutralization
"1,2_1,2",immunized,antisera_antisera
antisera_antisera,fixed,dilution
dilution,corresponding,neutralization
antisera_antisera,at,dilution
dilution,to,neutralization
Antisera,purified,influenza
Antisera,with,dilutions
dilutions,of,sGP
Antisera,purified,influenza
Antisera,with,dilutions
dilutions,of,sGP
12_12,with,Figure
sGP,divert,responses
Ability,of,sGP
IM,with,mg
immunization,to,schedule
mg,of,DNA
DNA,per,immunization
previous_experiments_experiments,with,Edit
Edit,in,vector
n,in,previous_experiments_experiments
subgroups,boosted,10_10
group,divided_in,Two_two
subgroups,at,10_10
10_10,with,construct
construct,against,Two_groups_of_mice_-LRB-_n_=_12_-RRB-_they
response,against,UNKNOWN
12_12,analyzed,antibodies
Sera,collected_at,12_12
12_12,for,antibodies
antibodies,against,"1,2_1,2"
antibodies,described,3B
ability,compete,antibodies
antibodies,determined_by,ELISA
ability,of,antibodies
ELISA,in,3B
antibodies,for,antibodies
Unknown,boosted,10_10
mice_week_-RRB-_purple_mice,immunized,Edit
mice_week_-RRB-_purple_mice,then,10_10
then,at,10_10
antisera,from,"mice_immunized_with_sGP_Edit_and_then_boosted_at_week_10_with_either_GP_1,2_Edit_-LRB-_red_-RRB-_,_or_sGP_Edit_-LRB-_purple_-RRB-_mice"
"mice_immunized_with_sGP_Edit_and_then_boosted_at_week_10_with_either_GP_1,2_Edit_-LRB-_red_-RRB-_,_or_sGP_Edit_-LRB-_purple_-RRB-_mice",with,Edit
Edit,at,10_10
in,duplicate,times
experiments_experiments,performed,times
previous_experiments_experiments,in,times
Interference,of,sGP
sGP,by,UNKNOWN
neutralization,determined,4B
ability,interfere,neutralization
ability,of,neutralization
neutralization,in,4B
neutralization,with,neutralization
Unknown,Pooled,"1,2_1,2"
Unknown,boosted,"1,2_1,2"
dilution,corresponding_to,neutralization
antisera,at,dilution
infectivity,measured,methods
infectivity,described_in,methods
rescue,of,infectivity
Antisera,with,dilutions
dilutions,of,sGP
fine,checkered,12_12
titers,corresponding_to,neutralization
50_50,for,6
bars,correspond_to,interval
Subversion,by,Pathogens
activity,boosted_by,immunization
immunization,with,isoform
sGP,overwhelm,GP
sGP,boosts,antibodies
that,that,UNKNOWN
B-cells,recognize,epitopes
B-cells,shared,"1,2_1,2"
regions,of,sGP
regions,of,"1,2_1,2"
epitopes,with,"1,2_1,2"
antibodies_antibodies,dominate,response
sGP,generate,antibodies_antibodies
sGP,directed,epitopes
animals,primed_with,sGP
shares,over,%
sequence,with,"1,2_1,2"
epitopes,with,"1,2_1,2"
cells,outnumber,receptors
cells,resulting,expansion
individuals,infected,infection
B-cells,in,expansion
expansion,of,B-cells
individuals,from,infection
Unknown,shielding,epitopes
animals,with,GP
mucin,of,epitopes
epitopes,with,sGP
domain,to,accessibility
results,in,anti-sGP_antibodies_antibodies
accessibility,of,mucin
epitopes,encounter,antigen
B-cells,recognize,epitopes
epitopes,resulting,subversion
individuals_infection_they,infected,EBOV
individuals_infection_they,have,titers
antibodies_antibodies,clear,infection
animals,boosted_with,sGP
individuals_who_have_previously_been_infected_and_recovered_from_EBOV_infection_they,with,EBOV
subversion,of,response
response,towards,cross-reactivity
antibodies_antibodies,maintained,infection
anti-sGP_antibodies_antibodies,to,infection
response,vaccinated,virus
virus,cleared,role
Subversion,by,Pathogens
response,of,evasion
sGP,in,host
role,of,sGP
we,analyzed,responses
we,allowing,sGP
mice,immunized,sGP
sGP,effectively,antibodies_antibodies
sGP,serves,response
sGP,redirect,response
epitopes,shared,isoforms
responses,in,mice
mice,against,sGP
response,towards,epitopes
epitopes,between,isoforms
phenomenon_subversion_it,is,mechanisms
mechanisms,absorbs,antibodies_antibodies
Unknown,observed,crossreactivity
mice,directed_against,epitopes
epitopes,with,sGP
crossreactivity,of,"anti-GP_1,2_antibodies_antibodies"
finding,with,studies
sGP,assumes,immunization
we,propose,mechanism
host,begins,repertoire
epitopes,distributed,"1,2_1,2"
sGP,before,immunization
we,for,mechanism
subversion,by,sGP
host,with,repertoire
mechanism,of,subversion
epitopes,throughout,"1,2_1,2"
"1,2_1,2",encounter,their_cognate_antigens_antigens
B-cells,recognize,"1,2_1,2"
sGP,generated_in,quantities
epitopes,shared_between,sGP
quantities,than,"1,2_1,2"
population,expands,population_it
response,is,sGP
response,shared,sGP
response,towards,sGP
"1,2_1,2",with,sGP
subversion,represents,strategy
strategy,has,similarities
similarities,to,sin
pathogen,recognize,their_cognate_antigens_antigens
pathogen,results_in,population
exposure,to,pathogen
their_cognate_antigens_antigens,to,strain
B-cells,producing,antibodies_antibodies
pathogen,bind_to,strain
exposure,to,strain
strain,of,pathogen
affinity,to,pathogen
Bcells,produce,affinity
Bcells,compete_for,signals
signals,with,Bcells
sGP,expand,"1,2_1,2"
sGP,resulting,response
overexpression,by,virus
virus,of,sGP
signals,in,response
"1,2_1,2",on,surface
process,require,separation
process,occur,exposure
subversion,explain,antibodies_antibodies
animals,primed_against,sGP
encounters,during,exposure
exposure,to,two
separation,of,encounters
model,for,subversion
cross-reactivity,with,sGP
sGP,elicits,antibodies_antibodies
priming,with,sGP
some,with,"1,2_1,2"
B-cells,recognize,epitopes
B-cells,express,receptors
B-cells,recognize,epitopes
B-cells,express,receptors
Unknown,render,response_it
competition,by,sGP
We,hypothesize,majority
there,is,population
epitopes,not,sGP
B-cells,activated_in,mice
mice,immunized_against,"1,2_1,2"
majority,of,B-cells
epitopes,with,sGP
This,supported,observation
This,develop,titers
sGP,compete,immunoprecipitation
This,by,observation
titers,of,antibodies
sGP,in,immunoprecipitation
immunoprecipitation,for,antibodies
B-cells,shifting,response
mice,boosted,sGP
epitopes,do,response
mice,with,sGP
response,from,GP
response_it,is,activity
response_it,decreased,sGP
response_it,boosting,sGP
activity,after,sGP
sGP,despite,increase
increase,in,antibodies
activity,with,sGP
Unknown,only,antibodies
antibodies,are,competition
mice,maintained,resistence
existing,neutralizing,antibodies
antibodies,to,competition
resistence,to,interference
"1,2_1,2",in,mice
situation,is,one
situation,to,one
virus,replicate,response
individual,is,virus
virus,subvert,response
individual,rapidly,virus
response_it,be,vaccines
response_it,induce,titers
antibodies,ensure,virus
virus,cleared,response_it
response_it,is,subversion
titers,of,antibodies
mice,is,body
sGP,compete,antibodies
evidence,pointing,immunodominance
not,shared,sGP
inability,of,sGP
sGP,for,antibodies
mice,with,body
body,of,evidence
evidence,to,immunodominance
immunodominance,of,domain
region,of,GP
not,with,sGP
domain,form,''
domain,from,antibodies
'',-LSB-,-RSB-
interaction,is,studies
studies,indicate,region
domain,plays,interaction
region,contains,neutralizing
domain,in,interaction
region,both,neutralizing
domain,is,region
domain,is,fusion
strains,for,fusion
domain,is,region
domain,is,fusion
strains,for,fusion
trimer,supported,observation
sGP,shielded_in,GP
trimer,by,observation
antibodies,in,mice
"1,2_1,2",despite,fact
fact,that,shares
%,of,sequence
subversion,allows,sGP
sGP,efficiently,antibodies
antibodies,recognize,epitopes
importance,of,subversion
subversion,to,pathogenesis
antibodies,reveal,antibodies
studies,with,sera
This_This,is,transfer
antibodies,gained,traction
This_This,given,transfer
transfer,of,antibodies
traction,as,therapeutic
cross-reactivity,turns,clearance
antibodies,achieving,treatment
cross-reactivity,correlated,clearance
antibodies,for,treatment
treatment,of,infection
vaccines_vaccines,tailored,regions
vaccines_vaccines,target,regions
regions,not,sGP
regions,between,sGP
This_This,is,efforts
This_This,develop,vaccine
studies,centered,vaccines_vaccines
studies,focusing,vaccines_vaccines
epitopes,deleting,regions
This_This,to,efforts
epitopes,by,regions
regions,of,"1,2_1,2"
antibodies,elicited,constructs
constructs,be,sGP
constructs,therefore,subversion
most,highly,region
antibodies,by,constructs
sGP,to,most
sGP,to,subversion
constructs,with,sGP
region,of,1
vaccines_vaccines,need,regions
vaccines_vaccines,focused,regions
Unknown,unshared,sGP
vaccinology,determine,subversion
subversion,correlates,failures
vaccines_vaccines,protect,animals
regions,of,"1,2_1,2"
sGP,such,GP
subunit.It,of,interest
interest,for,vaccinology
subversion,with,failures
animals,against,challenge
It,be,vaccine
vaccine,elicit,response
host,clear,virus
cross-reactivity_it,replicate,subversion
It,for,vaccine
response,with,titers
possibility,is,titers
possibility,delayed,time
survival,correlated,maintenance
titers,with,experiments
time,to,death
survival,with,maintenance
response,reduce,threshold
sGP,conserved,viruses_viruses
sGP,produced_by,Marburg
member,of,filoviridae
threshold,of,antibodies
expression,of,sGP
sGP,in,related_viruses_viruses
There,are,instances
instances,diverge,mechanisms
filoviridae_they,employ,hosts
filoviridae_they,survive,hosts
related_viruses_viruses,in,mechanisms
the_filoviridae_they,in,hosts
paramyxovirus,causes,infections
protein,via,editing
editing,of,gene
infections,in,rodents
V,is,survival
SeV,show,defect
V,for,survival
