NOUN,VERB/PREP,NOUN
else,thinking,issues
document,is,website
its_intent_it,of,use
aid,to,researchers_and_others_that_evaluate_researchers
use,to,members
board,of,aid
members,of,board
else,about,issues
document,on,website
its_intent_it,is,framework
its_intent_it,recognise,framework
Third_It,does,example
Third_It,for,example
Third_It,is,piece
piece,of,regulation
its_intent_it,aims,structure
intent,expressed,metaphor
its_intent_it,provide,structure
metaphor,framing,its_intent_it
its_intent_it,provide,list
framework,based,work
intent,by,metaphor
metaphor,of,its_intent_it
structure,for,discussion
list,of,framework
framework,on,work
This,used,time
its_intent_it,orientated,frameworks
This,at,time
most,of,frameworks
This,used,time
its_intent_it,orientated,frameworks
This,at,time
most,of,frameworks
framework_It,is,more
framework,facilitates,judgments
framework,making,judgments
more,of,checklist
checklist,of,considerations
considerations,than,framework
framework,structured_in,terms
terms,of,series
mixture_advice_communities_researchers_it,is,benchmark
',relate,other
the,of,UNKNOWN
we,do,researchers_they
benchmarks_benchmarks,relate,other
the,presented,order
first_first,stated,principle
',by,then
these,supposed,principles_benchmarks_principles
these,be,principles_benchmarks_principles
these_They,be,things
things,do,researchers_they
ERB,supposed,account
researchers_they,do,this_this
ERB,take_into,account
requirements,presented,order
requirements,in,order
detail,of,order
mixture_advice_communities_researchers_it,appear,mixture_advice_communities_researchers_it
review,in,list
Unknown,enrolled,subjects
subjects,informed,consent
respect,for,potential
consent,from,respect
consent,to,respect
we,consider,'
researchers_they,are,1
thing,is,researchers_they
benchmarks_benchmarks,state,way
benchmarks_benchmarks,happen,way
There,is,mixture
mixture_advice_communities_researchers_it,remains,this_this
advice,engaging_with,researchers
mixture,of,advice
advice,about,researchers
this_this,is,way
way,get,study
mixture_advice_communities_researchers_it,is,researchers_they
researchers_they,be,'
you,expect,commitment
commitment,to,ideas
ideas,of,respect
issues,just,commitment
this_this,relate_to,kinds
kinds,of,issues
issues,such,commitment
commitment,to,value
value,of,persons
values/principles/issues,given,prominence
it,is,issues
completed,are,b
completed,require,b
issues,interact,obligations
obligations,arise,research
research,completed,b
framework,implemented,2013
framework,well,researchers
framework,since,2013
2013,by,researchers
review_MSF,collects,amount
research,collected,data
amount,of,data
analysis,of,data
data,as,part
data,from,review_MSF_MSF
part,of,procedures
data,be,outcomes
data,evaluate,outcomes
data,analyse,predictors
data,assess,factors
factors,influencing,effectiveness
predictors,of,outcomes
conditions,discussed,meeting
review,increasing,possibility
possibility,delegating,responsibility
protocols,aimed,kind
protocols,generating,kind
data,submitted,ERB
possibility,of,responsibility
conditions,at,meeting
number,of,protocols
responsibility,for,type
study,to,directors
directors,in,2010
protocols,at,kind
type,of,study
directors,under,conditions
kind,of,data
the_ERB_'s_ERB,for,review
considerations,concerned,data
data,collected,patients
patients,informed,uses
patients,of,uses
uses,of,data
Unknown,follow,principles
Unknown,require,consent
review_MSF,establish,policy
policy,on,collection
collection,of,data
data,in,settings
it,is,consent
data,carry,risk
Unknown,be,it
uses,is,care
uses,of,data
risk,of,harm
consent,to,uses
uses,in,care
framework_It,suggested,review_MSF
review_MSF,consider,variety
posters,describing,uses
ways,informing,people
data,collected_in,clinic
variety,of,ways
ways,of,people
people,about,uses
uses,of,data
uses,of,data
framework_It,agreed,analyses
framework_It,collected,data
data,require,review
responsibility,addressing,issues
review_MSF,overseeing,research
analyses,of,data
review_MSF_MSF,as,organization
responsibility,for,issues
organization,through,directors
criteria,fulfilled,exemption
criteria,qualify,exemption
criteria,for,exemption
exemption,from,review
Unknown,promote,welfare
procedures,are,community
community,include,procedures
procedures,within,community
Unknown,provided,?
This_This,include,elements
findings,communicated,participants
reasons,doing,research
participants,are,findings
research,doing,research
intervention,involve,commitments
participants,refuse,findings
participant,asked,details
participant,involved,details
reasons,for,research
details,about,involve
details,about,risks
commitments,of,participation
findings,to,participants
information,given,risks
given,be,risks
This_this,mean,risk
information,to,risks
Unknown,is,risk
Unknown,listing,risk
attention,to,risk
risk,than,risk
information,in,formats
This_This,implies,information
information,provided,form
form,be,language
information,guarantee,b_information_it
form,avoiding,terms
process,pretested,people
information,on,form
form,in,language
information,during,process
process,with,people
people,of,background
background,as,participants
information,appropriate,language
information,provided_at,level
level,without,terms
terms,to,language
form,translated,language
language,used,sense
language,get,sense
form,into,language
c.,in,oral
sense,of,accuracy
accuracy,of,translation
Unknown,comprehend,procedures
You,want,issues
You,consider,issues
consent,consider,?
issues,consent,study_participants_they
study_participants_they,do,place
place,allow,discussion
witness,to,consent
issues,such,as
communities,be,sensitivities
communities,ensure,process
process,meets,sensitivities
engagement,with,communities
e.g.,signed,document
act,of,consent
participants,are,research
participants,refuse,research
this,in,protocol
participants,from,research
stage,without,penalty
research,at,stage
Ministry,of,Health
body,representing,community
consultation,with,body
met,is,projects
review,taken,directors
met,reviewed,projects
requirements,met,projects
decision,for,exemption
review,by,directors
exemption,from,review
exemption,in,addition
MSF_MSF,from,compliance
compliance,with,requirements
requirements,in,country
country,from,the_data_data
review,be,review_protocols
review_protocols,involving,analysis
review_protocols,collected,data_data
data_data,exempted,review
review,by,directors
analysis,of,the_data_data
National_or_institutional_ethical_review_protocols,between,analysis
the_data_data,from,review
review_protocols,submitted,ERB
ERB,ensure,criteria
case,of,doubt
National_or_institutional_ethical_review_protocols,to,ERB
case_doubt_This,was,case
case,in,2013
ERB,confirmed,criteria
studies_studies,provided,ERB
list,of,exempted_studies_studies
exempted_studies_studies,to,ERB
ERB,at,end
end,of,year
ERB,retains,medicine
ERB,exempted,studies_studies
studies_studies,verify,criteria
respected.There,is,uncertainty
uncertainty,about,intervention
intervention,in,dimensions
dimensions,of,medicine
Unknown,noted,manner
interventions,in,manner
manner,in,contexts
ethics,review,literature
response,implemented,table
ethics,noted,literature
response,to,table
need,for,ethics
table,of,meetings
meetings,for,ethics
ethics,in,literature
influenza,demonstrated,ethics
structures,tailored,feedback
structures,hinder,research
Experiences,with,influenza
structures,for,feedback
feedback,in,manner
research,with,benefits
Recommendations,addressing,deficiencies
Recommendations,for,deficiencies
Unknown,allow,ethics
research,in,situations
committee/authorities,for,approval
proposal,submitted,ERB
proposal,to,the_MSF_ERB_ERB
the_MSF_ERB_ERB,including,details
details,to,location
review,expedited_by,decision
decision,of,chair
members,will,pledge
pledge,provide,decision
chair,plus,members
decision,within,hours
decision,leading,review
decision,challenged_by,members
members,to,review
It,expected,this_this
members,provide,input
this_this,occurs,members
process,successfully,validity
process,enhanced,ability
process,assessing,validity
researchers_researchers,respond_in,manner
input,within,process
process,in,validity
ability,of,researchers_researchers
tests,during,outbreak
outbreak,with,harms
validity,of,tests
harms,to,participants
this_this,was,instance
hours.This_process_validity_tests_meningitis_outbreak_harms_participants_ability_researchers_manner_it,agreed,2008
an_additional_24_hours.This_process_has_been_successfully_used_in_assessing_the_validity_of_new_rapid_diagnostic_tests_during_a_meningitis_outbreak_with_no_reported_harms_to_participants_and_enhanced_ability_of_researchers_to_respond_in_a_timely_manner_it,in,2008
procedure,has,protocol
protocol,understand,practices
procedure,to,protocol
practices,to,Disease
review,also,research
research,carried,outbreak
review,for,research
research,in,outbreak
-RRB-,published,2007
consent,sought,cases
review,of,research
research,on,these_outbreaks_in_the_development_of_such_protocols_outbreaks
2007,among,interventions
consent,in,cases
local,in,cases
ERB,suggested,2010
MSF,wished,research
MSF,carry,research
protocol,prepared,consideration
protocol,taking,consideration
protocol,involve,victims
the_MSF_ERB_ERB,in,2010
victims,of,these_outbreaks_in_the_development_of_such_protocols_outbreaks
these_outbreaks_in_the_development_of_such_protocols_outbreaks,in,development
research,on,treatments
development,of,protocols
treatments,in,settings
protocol,into,consideration
outbreaks_development_protocols_outbreaks,are,terms
individuals,at,time
these_outbreaks_in_the_development_of_such_protocols_outbreaks,in,terms
terms,of,location
survivors,are,workers
hours.This_process_validity_tests_meningitis_outbreak_harms_participants_ability_researchers_manner_it,involve,survivors_them
some_survivors_them,in,development
countries,concerned,Republic
committees,of,countries
countries,such,Republic
Republic,of,Congo
protocol,by,ethics
This,taken,MSF
This,by,MSF
MSF,before,outbreak
outbreak,in,Africa
researchers_researchers,met,2014
outbreak,informed,interaction
researchers_researchers,in,2014
outbreak,by,interaction
trials,in,outbreak
interaction,of,MSF
survey,be,populations
populations,such,survey
mapping,of,quality
survey,in,Iraq
Iraq,in,refugees
quality,in,slums
cholera,in,Haiti
access,to,services
slums,during,cholera
services,for,migrants
survey,in,populations
surveys_Surveys,presumed,risk
surveys_Surveys,be_of,risk
issues,disclosed_by,surveys_surveys
Examples,include,discrimination
discrimination,dealing,abuse
discrimination,providing,characteristics
community,enhance,attractiveness
ERB,provide,guidance
guidance,reviewing,survey
discrimination,blaming_of,groups
approach,to,that_related_to_the_retrospective_analysis_of_routinely_collected_data_data
distress,with,abuse
characteristics,of,community
that_related_to_the_retrospective_analysis_of_routinely_collected_data_data,to,analysis
targets,by,combatants.It
guidance,without,survey
ERB,trust,researchers
exemption,be,those
researchers,deliberate,risks
exemption,collected,analysis_data_data
exemption,Adding,question
researchers_they,want,review
exemption,removing,question
protocol,means,survey_research_it
survey_research_it,is,protocol
instruments,examined_by,exemption
exemption,granted_under,conditions
Criteria,for,exemption
review,within,frame
exemption,to,those
frame,of,reference
those,for,analysis
researchers,about,risks
analysis,of,that_related_to_the_retrospective_analysis_of_routinely_collected_data_data
question,from,protocol
review,be,research
research,such,activity
health,from,ethics
Unknown,start,2014
originate,be,required.Implementation
researchers,make,provisions
group,stand,knowledge
participants,need,intervention
interventions,result,research
group,benefit_from,knowledge
intervention,identified_as,trial
wording,in,20
research,in,sense
access,to,population
policy,in,2014
2014,including,submission
analysis,of,that_related_to_the_retrospective_analysis_of_routinely_collected_data_data
sense,of,access
review,in,country
country,from,that_related_to_the_retrospective_analysis_of_routinely_collected_data_data
submission,of,protocols
access,for,participants
provisions,for,access
protocols,to,34
34,of,Declaration
Declaration,of,Helsinki
intervention,in,trial
interventions,from,research
investigators,make,or
investigators,ensure,research
knowledge,generated,or
health,needs,priorities
survey_research_it,is,product
product,developed,knowledge
survey_research_it,carried,product
research,is_to,health
priorities,of,community
knowledge,for,or
or,of,population
ERB,examined,value
ERB,meaning,benefits
value,of,research
benefits,for,participants
community,during,process
ERB,requested,MSF_MSF
research,approved,inception
2010,report,dissemination
claims,made,protocols
protocols,translated,practice
MSF_MSF,for,time
impact,of,research
research,since,inception
time,in,2010
inception,of,The_ERB_ERB
2010,on,dissemination
dissemination,of,research_results_results
claims,in,protocols
protocols,into,practice
We,distinguish,impact
We,between,impact
impact,in,literature
impact,in,field
field,of,intervention
one,forget,what
Unknown,have,value
what,happens,publication
publication,is,research
publication,is,research
impact,in,literature
research,for,organisations
organisations,such,MSF_MSF
publication,with,research
research_results_results,categorized,only
Changes,in,practice
changes,to,outcomes
decrease,in,morbidity
practice,at,level
effects,on,performance
research_results_results,as,only
internal,MSF_MSF,only
sharing,of,research_results_results
research_results_results,at,level
ERB,received,feedback
248,reviewed,2013
feedback,on,protocols
protocols,out,248
248,between,2013
protocols,had,approval
studies,refused,ERB
protocols,cancelled,approval
studies,by,The_ERB_ERB
protocols,after,approval
protocols,were,ongoing
ongoing,at,end
end,of,2013
categories,proposed,impact
studies,were,shared
studies,policy,categories
study,done,impact
lead,to,one
research_results_results,of,studies
9,to,dissemination
impact,in,country
dissemination,of,research_results_results
impact,at,programmatic
impact,within,MSF_MSF
potential,on,scale
categories,imply,hierarchy
research,spans_from,analyses
analyses,of,data
data,to,trials
outset,have,internationally
outset,change,protocols
studies,designed_for,impact
others,from,outset
category,encompasses,one
level,includes,impact
scale,comprises,impact
impact,at,level
impact,at,level
impact,at,scale
impact,on,operations
3_3,provides,examples
examples,for,each
each,of,categories
ERB,has,findings
ERB,share,findings
findings,arising_from,research
paper,shares,experience
this,been,paper
research,carried,communities
experience,functioning,ethics
ethics,review,board
ethics,shows,organisation_it
board,serving,organisation
organisation_it,evolved,time_time
time_time,face,challenges
experience,of,an
research,with,communities
communities,in,settings
a_large_medical_humanitarian_organisation_it,over,time_time
challenges,of,research
we_we,noted_over,years
importance,of,dialogue
dialogue,between,MSF_researchers_researchers
interaction,allowed_for,innovations
innovations,on,partnership
partnership,between,The_ERB_ERB
we_we,work,'s
we_we,leading,co-evolution
's,to,co-evolution
we_we,come,ethics
we_we,understand,ethics
ethics,seen_as,process
experience,shows,review
review,be,process
time_time,of,debate
we_We,think,ethics
ethics,review,format
ethics,take,format
ethics,review,areas.First
ethics,pursuing,developments
we_we,like,attention
we_we,focus,attention
impact,of,framework
This,of,course
course,from,perception
perception,of,ethics
areas.First,at,times
developments,in,areas
areas,in,paper
paper,in,years
attention,on,three
research,needs,more
research,defined,more
organisation_it,seems,framework
organisation_it,adopted,framework
organisation_it,be,framework
protocols,be,MSF_MSF
organisations,facing,challenges
we_we,sense_after,implementation
impact,of,research
evaluation,of,impact
protocols,for,MSF_MSF
MSF_MSF,for,organisations
impact,on,quality
quality,of,protocols
One,consider,changes
changes,over,time_time
impact,demonstrated,uptake
impact,shown_in,metasynthesis
latency,of,impact
time_time,by,uptake
results,into,guidelines
metasynthesis,at,time_time
uptake,of,results
It,is,impact
It,predict,impact
question,be,changes
changes,implemented,outcomes
changes,are,time_time
changes,based_on,outcomes
outcomes,over,time_time
Finally,between,UNKNOWN
therapy,involves,samples
therapy,collecting,samples
therapy,tested_on,subjects
safety,of,procedure
samples,with,testing
",",deemed,research
research,carries,risks
participation,of,two
risks,to,subjects
contexts,produced,R2HC
we,revised,framework
framework,for,contexts
contexts,by,R2HC
research_ethics_framework_contexts_It,take,we_us
it,noted,framework
team,learned,lesson
it,approach,homes
it,contact,means
it,summarizes,literature
it,follows,framework
purpose,offer,analysis
we_us,from,purpose
purpose,of,analysis
Network,in,Mumbai_Mumbai
homes,by,means
framework,in,study
lesson,regarding,followup
study,of,initiative
followup,of,defaulters
initiative,between,Clinic
treatment,in,patients
treatment,in,patients
